Search Terms	Ranking	San Francisco	Los Angeles	New York	Chicago	San Diego	San Jose	Seattle	Boston	Austin	Las Vegas	Philadelphia	Portland	Houston	Sacramento	Honolulu	Atlanta	Orange County	Denver	Dallas	Phoenix	Miami
Nail Salons	70.1666666666667	72	54	78	59	41	68							75	66	70				94	72	93
Best Sushi	70.5											91	50									
Restaurants With A View	70.7777777777778	66	74	49	79	97										72		96		72		32
Mexican Restaurant	70.875		93		68	49	73							90	89				72		33	
Best West Village Restaurant	71.0			71																		
Two Urban Licks	71.0																71					
Designer Clothing Resale Shop	71.0													71								
Stone Crabs	71.0																					71
Baco Mercat	71.0		71																			
Rioja	71.0																		71			
Best Bars In Downtown	71.0														71							
Indian Restaurant	71.0						26		84		92	40		72			73			99	82	
Hookah Bar	72.0																72					
Blow Dry Bar	72.0								72													
Topless Pools	72.0										72											
Cheesesteaks	72.0											72										
Indoor Shooting Range	72.0														72							
Vintage Stores	72.0																					72
Yoga	72.1	55	62	90	70	83		66	89			73	59						74			
Cheap Massage	72.3333333333333													95						81	41	
Chinese Restaurant	72.5	82					63															
Korean Spa	73.0																	73				
Adult Theater	73.0													73								
Paseo	73.0							73														
Sage	73.0										73											
Sandwiches	73.0	40	82			71	94						78									
Rush Street Restaurants	73.0				73																	
Imperial	73.0												73									
Trade	73.0								73													
Trendy Restaurant	73.0			73																		
Institute For Integrative Nutrition	73.0	53		93																		
Puerto Madero Brickell	73.0																					73
7th Street Restaurants	73.0																				73	
Downtown Restaurants	73.5										82										65	
Salad	73.75	62	70	65						98												
Shoe Repair	74.0			79	69																	
Abc Kitchen	74.0			74																		
Wayfare Tavern	74.0	74																				
Seafood Buffet	74.0										74											
Baby Stores	74.0																					74
Happy Hour Specials Uptown	74.0																			74		
Royal India Buffet	74.0									74												
Best Chinese Food	74.0	71																77				
Clyde Common	74.0												74									
Lesbian Bar	74.0																50				98	
Lunch Spots	74.5												49								100	
Auto Repair	74.75					54	81			80					84							
Hotel Suites With Jacuzzi In Room	75.0														75							
Best Cuban Sandwich	75.0																					75
Hp Pavilion Parking	75.0						75															
Gary Danko	75.0	75																				
Lounge	75.0		78	72																		
Late Night Food	75.0												75									
Night Clubs Downtown	75.0				75																	
Sushi Den	75.0																		75			
Indoor Rock Climbing	75.0																	75				
Tacos	75.4		56		94					72										89	66	
Hip Hop Dance Class	75.5											87								64		
Gay Bath House	75.5								94												57	
Best Restaurants In Hillcrest	76.0					76																
Boutique Hotel	76.0												76									
Eyelash Extensions	76.0															76						
Best Pie	76.0																	76				
Car Service	76.5		91	62																		
Dessert	76.5714285714286	68	59	57		66	95								98	93						
Clothing Boutiques	76.6666666666667															61			80			89
South Street	77.0																					77
Sell Used Clothes	77.0																77					
Healthy Restaurants	77.0													64						90		
18 And Over Dance Clubs	77.0																	84			70	
Jpmorgan Chase Bank	77.0			97										57								
Best Internet Service Provider	77.0							77														
Cheap Motel	77.0		83													71						
Cheap Smog Check	77.0						77															
Byo	77.0											77										
Salt Lick	77.0									77												
Vegan Restaurants	77.0											70	84									
Snorkeling	77.0															77						
Mgm Grand	77.0										77											
Gym	77.2857142857143	87	88	86	40		97	45											98			
Shellac Nails	77.6666666666667						89			68				76								
Scratch And Dent Appliances	78.0													78								
Revel	78.0							78														
Starbucks	78.0		96				60															
Waterfront Restaurants	78.0																					78
Swinger Bars	78.0																				78	
Delivery Food	78.0																		78			
South Congress Hotels	78.0									78												
Delfina	78.0	78																				
Plate Lunch	78.0															78						
Burger	78.1111111111111	67	69	36	67	96		93					86	100					89			
Sports Bars	78.7142857142857	29	100				93	87					70		92						80	
Best Birthday Restaurants	79.0																			79		
Toco Hills Shopping Center	79.0																79					
Best Ramen	79.0															79						
Persimmon Picking	79.0					79																
Dispensaries	79.0														79							
Gluten Free Restaurants	79.0																		79			
Night Clubs 18	79.0							79														
The Table	79.0						79															
Free Pet Vaccination	79.0																				79	
Empire State South	80.0																80					
B&h Camera	80.0																					80
Park Tavern	80.0	80																				
Zahav	80.0											80										
Top Chinese Food	80.0								80													
Best Beaches	80.0					80																
Sipatea	80.0						80															
Sushi Buffet	80.0														80							
Best Thrift Shops	80.0		80																			
Hibachi	80.0																			80		
Spa	80.2142857142857	86	79	83	80	75	88	85			46		97	87		36	100			97		84
Restaurants Near Kimmel Center	81.0											81										
Snooze	81.0					89													73			
Windsor	81.0																				81	
Hiking Trails	81.0															94					68	
Asian	81.0									95									67			
Best Chinese Restaurant	81.0										81											
Sunda	81.0				81																	
Wedding Venues	81.0																	81				
Walk In Clinics	81.0								81													
Zero Zero	81.0	81																				
Barley Swine	81.0									81												
Thai Restaurant	81.0	99	77			95	53															
Vegetarian	81.1111111111111	83	81	54	77	100		76	95			69	95									
Orphanage	82.0																	82				
Prime 112	82.0																					82
Restaurants Near Grand Central	82.0			82																		
Used Cowboy Boots	82.0													82								
Italian Byob	82.0											82										
Tasty And Sons	82.0												82									
Hot Pot	82.0						82															
Thrift Shops	82.0														82							
Electrician	82.1666666666667						67			90				98	67				95		76	
Lunch Restaurants	82.3333333333333												67		88				92			
Burlesque Show	83.0										83											
Bars Downtown	83.0																			83		
The Drag Restaurants	83.0									83												
Pride And Joy	83.0																					83
Colored Contacts	83.0																	83				
Neptune Oyster	83.0								83													
Restaurant Supply	83.0															83						
Midtown Bars	83.0													83								
Used Book Stores	83.3333333333333														99		68		83			
Best Salads	84.0																				84	
Yolo	84.0											84										
Iphone Repair	84.0					90												78				
Town	84.0															84						
Caesars Buffet	84.0										84											
Upscale Trendy Restaurants	84.0													84								
Cupcakes	84.3333333333333						90			92											71	
Walk In Medical Clinic	85.0											85										
Wi Spa	85.0		85																			
Le Pigeon	85.0												85									
Agora	85.0									85												
Publix	85.0																					85
Nail Salon	85.0			85																		
Luxor	85.0										85											
Parking	85.0	85																				
Highlands Restaurants	85.0																		85			
Passport Photos	85.6666666666667							81	90										86			
Steakhouse	86.0										86											
Romantic Live Music Dancing Restaurant	86.0													86								
